movieId,RUNTIME (MINUTES),RUNTIME (SECONDS), NUMBER OF CHUNKS,VIDEO SIZE FOR 360p (GB),VIDEO SIZE FOR 480p (GB),VIDEO SIZE FOR 720p (GB),VIDEO SIZE FOR 1080p (GB)
1,81,4860,1215,0.91125,2.43,4.55625,7.29
2,104,6240,1560,1.17,3.12,5.85,9.36
3,101,6060,1515,1.13625,3.03,5.68125,9.09
5,106,6360,1590,1.1925,3.18,5.9625,9.54
8,97,5820,1455,1.09125,2.91,5.45625,8.73
9,106,6360,1590,1.1925,3.18,5.9625,9.54
11,114,6840,1710,1.2825,3.42,6.4125,10.26
12,88,5280,1320,0.99,2.64,4.95,7.92
13,78,4680,1170,0.8775,2.34,4.3875,7.02
18,98,5880,1470,1.1025,2.94,5.5125,8.82
19,90,5400,1350,1.0125,2.7,5.0625,8.1
20,110,6600,1650,1.2375,3.3,6.1875,9.9
21,105,6300,1575,1.18125,3.15,5.90625,9.45
24,111,6660,1665,1.24875,3.33,6.24375,9.99
25,111,6660,1665,1.24875,3.33,6.24375,9.99
27,100,6000,1500,1.125,3,5.625,9
28,104,6240,1560,1.17,3.12,5.85,9.36
29,108,6480,1620,1.215,3.24,6.075,9.72
30,108,6480,1620,1.215,3.24,6.075,9.72
31,99,5940,1485,1.11375,2.97,5.56875,8.91
34,91,5460,1365,1.02375,2.73,5.11875,8.19
38,101,6060,1515,1.13625,3.03,5.68125,9.09
39,97,5820,1455,1.09125,2.91,5.45625,8.73
40,106,6360,1590,1.1925,3.18,5.9625,9.54
41,104,6240,1560,1.17,3.12,5.85,9.36
42,119,7140,1785,1.33875,3.57,6.69375,10.71
43,117,7020,1755,1.31625,3.51,6.58125,10.53
44,101,6060,1515,1.13625,3.03,5.68125,9.09
45,106,6360,1590,1.1925,3.18,5.9625,9.54
46,116,6960,1740,1.305,3.48,6.525,10.44
48,81,4860,1215,0.91125,2.43,4.55625,7.29
49,96,5760,1440,1.08,2.88,5.4,8.64
50,106,6360,1590,1.1925,3.18,5.9625,9.54
52,95,5700,1425,1.06875,2.85,5.34375,8.55
53,116,6960,1740,1.305,3.48,6.525,10.44
54,100,6000,1500,1.125,3,5.625,9
55,115,6900,1725,1.29375,3.45,6.46875,10.35
57,103,6180,1545,1.15875,3.09,5.79375,9.27
58,108,6480,1620,1.215,3.24,6.075,9.72
60,96,5760,1440,1.08,2.88,5.4,8.64
61,101,6060,1515,1.13625,3.03,5.68125,9.09
63,89,5340,1335,1.00125,2.67,5.00625,8.01
64,96,5760,1440,1.08,2.88,5.4,8.64
65,95,5700,1425,1.06875,2.85,5.34375,8.55
66,92,5520,1380,1.035,2.76,5.175,8.28
68,95,5700,1425,1.06875,2.85,5.34375,8.55
69,91,5460,1365,1.02375,2.73,5.11875,8.19
70,108,6480,1620,1.215,3.24,6.075,9.72
71,91,5460,1365,1.02375,2.73,5.11875,8.19
72,96,5760,1440,1.08,2.88,5.4,8.64
74,87,5220,1305,0.97875,2.61,4.89375,7.83
75,90,5400,1350,1.0125,2.7,5.0625,8.1
76,108,6480,1620,1.215,3.24,6.075,9.72
77,70,4200,1050,0.7875,2.1,3.9375,6.3
78,111,6660,1665,1.24875,3.33,6.24375,9.99
79,118,7080,1770,1.3275,3.54,6.6375,10.62
80,85,5100,1275,0.95625,2.55,4.78125,7.65
81,116,6960,1740,1.305,3.48,6.525,10.44
82,102,6120,1530,1.1475,3.06,5.7375,9.18
83,115,6900,1725,1.29375,3.45,6.46875,10.35
85,118,7080,1770,1.3275,3.54,6.6375,10.62
87,88,5280,1320,0.99,2.64,4.95,7.92
88,87,5220,1305,0.97875,2.61,4.89375,7.83
89,90,5400,1350,1.0125,2.7,5.0625,8.1
92,104,6240,1560,1.17,3.12,5.85,9.36
93,100,6000,1500,1.125,3,5.625,9
94,112,6720,1680,1.26,3.36,6.3,10.08
95,108,6480,1620,1.215,3.24,6.075,9.72
96,99,5940,1485,1.11375,2.97,5.56875,8.91
97,98,5880,1470,1.1025,2.94,5.5125,8.82
99,106,6360,1590,1.1925,3.18,5.9625,9.54
100,111,6660,1665,1.24875,3.33,6.24375,9.99
101,91,5460,1365,1.02375,2.73,5.11875,8.19
102,96,5760,1440,1.08,2.88,5.4,8.64
103,106,6360,1590,1.1925,3.18,5.9625,9.54
104,92,5520,1380,1.035,2.76,5.175,8.28
106,104,6240,1560,1.17,3.12,5.85,9.36
107,100,6000,1500,1.125,3,5.625,9
108,95,5700,1425,1.06875,2.85,5.34375,8.55
111,114,6840,1710,1.2825,3.42,6.4125,10.26
112,104,6240,1560,1.17,3.12,5.85,9.36
